0,"['как', 'звать', 'лодочник', 'река', 'стикс', 'древнегреческий', 'мифология']"
1,"['как', 'химия', 'обозначать', 'свинец']"
2,"['какой', 'химический', 'элемент', 'преобладать', 'состав', 'каменный', 'уголь']"
3,"['кто', 'перечислить', 'быть', 'паж', 'время', 'екатерина']"
4,"['когда', 'начаться', 'мировой', 'война']"
5,"['какой', 'эра', 'геологический', 'история', 'земля', 'относиться', 'настоящий', 'время']"
6,"['кто', 'животное', 'мочь', 'мурлыкать']"
7,"['что', 'перечислить', 'входить', 'национальный', 'русский', 'кухня']"
8,"['какой', 'этот', 'мультфильм', 'повествовать', 'реально', 'существовать', 'собака']"
9,"['кто', 'писать', 'повесть', 'мума']"
10,"['что', 'такой', 'кульверт']"
11,"['какой', 'вода', 'малый', 'содержание', 'примесь']"
12,"['сколько', 'музыкант', 'квинтет']"
13,"['кругом', 'вода', 'посредина', 'закон', 'что', 'это', 'такой']"
14,"['какой', 'год', 'начаться', 'первый', 'мировой', 'война']"
15,"['сергей', 'шнур', 'один', 'интервью', 'сровнять', 'свой', 'жена', 'героиня', 'картина']"
16,"['какой', 'цвет', 'относиться', 'панафриканский']"
17,"['какой', 'год', 'быть', 'разработать', 'первый', 'компьютерный', 'игра']"
18,"['сколько', 'месяц', 'год', 'иметь', 'день']"
19,"['какой', 'год', 'столица', 'россия', 'стать', 'санкт', 'петербург']"
20,"['как', 'называться', 'часть', 'речь', 'обладать', 'свойство', 'глагол', 'прилагательный']"
21,"['дата', 'основание', 'санкт', 'петербург']"
22,"['когда', 'быть', 'запустить', 'википедия']"
23,"['торопливый', 'прогулка', 'подиум']"
24,"['что', 'такой', 'алопеция']"
25,"['какой', 'возраст', 'умереть', 'мэрилин', 'монро']"
26,"['что', 'доставать', 'широкий', 'штанин', 'владимир', 'маяковский', 'свой', 'стихотворение']"
27,"['какой', 'этот', 'язык', 'принадлежать', 'тюрскок', 'языковой', 'группа']"
28,"['кто', 'разработать', 'теория', 'гелиоцентрический', 'система', 'мир']"
29,"['кто', 'напасть', 'ссср']"
30,"['какой', 'племя', 'основное', 'населять', 'нынешний', 'территория', 'франция']"
31,"['какой', 'болезнь', 'защищать', 'прививка', 'адс']"
32,"['что', 'перечислить', 'самый', 'что', 'оттоманка']"
33,"['когда', 'последний', 'раз', 'сборная', 'россия', 'хоккей', 'выигрывать', 'олимпиада']"
34,"['сколько', 'химический', 'элемент', 'таблица', 'менделеев']"
35,"['как', 'звать', 'отец', 'солов', 'разбойник']"
36,"['какой', 'самый', 'большой', 'планета', 'солнечный', 'система']"
37,"['день', 'рождение', 'владимир', 'владимирович', 'путин']"
38,"['сколько', 'разновидность', 'муха', 'существовать']"
39,"['когда', 'европейский', 'страна', 'праздновать', 'день', 'рождение', 'мишка', 'тедди']"
40,"['что', 'означать', 'физика']"
41,"['где', 'находиться', 'кобр']"
42,"['кто', 'являться', 'нынешний', 'президент', 'армение']"
43,"['кто', 'игрок', 'неб', 'являться', 'лидер', 'очки', 'карьера']"
44,"['как', 'называть', 'коренной', 'житель', 'город', 'пенза']"
45,"['как', 'звать', 'создатель', 'паровой', 'машина']"
46,"['найти', 'логика', 'папа', 'папа']"
47,"['какой', 'страна', 'находиться', 'самый', 'большой', 'здание', 'мир']"
48,"['сколько', 'весь', 'палец', 'лапа', 'кошка']"
49,"['сколько', 'год', 'год']"
50,"['кто', 'такой', 'иван', 'гай']"
51,"['при', 'какой', 'княз', 'произойти', 'крещение', 'руси']"
